,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
214,Azure Reflections,Shoot 'em up,Souvenir Circ.,"NA: Souvenir Circ.
WW: Sony Music Entertainment","Jan 25, 2018","May 15, 2018","May 15, 2018",
215,Azure Striker Gunvolt: Striker Pack,Action,Inti Creates,Inti Creates,"Apr 23, 2020","Apr 23, 2020","Apr 23, 2020",
216,Babylon's Fall,Action-adventure,PlatinumGames,Square Enix,TBA,TBA,TBA,
217,Backbone,Adventure,EggNut,Raw Fury,Unreleased,2021,2021,
218,Backgammon Blitz,Board game,VooFoo Studios,VooFoo Studios,Unreleased,"Dec 18, 2013","Apr 15, 2014",CP
219,Back to Bed,Puzzle,Loot Interactive,Loot Interactive,"Feb 9, 2017","Aug 25, 2015","Aug 25, 2015",
220,Back to the Future: The Game – 30th Anniversary Edition,Adventure,Telltale Games,Telltale Games,Unreleased,"Oct 16, 2015","Oct 13, 2015",
221,Badland: Game of the Year Edition,Platform,Frogmind,Frogmind,"Jun 7, 2017","May 28, 2015","May 26, 2015",
222,Bad North,Real-time strategy,Plausible Concept,Raw Fury,"Sep 6, 2018","Aug 28, 2018","Aug 28, 2018",P
223,Baja: Edge of Control HD,Racing,2XL Games,THQ Nordic,Unreleased,"Sep 14, 2017","Sep 14, 2017",
224,Bake 'n Switch,Party,Streamline Games,Streamline Games,Unreleased,TBA,TBA,
225,Balan Wonderworld,Platform,Balan Company,Square Enix,"Mar 26, 2021","Mar 26, 2021","Mar 26, 2021",
226,Baldur's Gate: Enhanced Edition,Role-playing,Beamdog,Skybound Games,Unreleased,"Sep 27, 2019","Sep 24, 2019",
227,Baldur's Gate II: Enhanced Edition,Role-playing,Beamdog,Skybound Games,Unreleased,"Sep 27, 2019","Sep 24, 2019",
228,Baldur's Gate: Siege of Dragonspear,Role-playing,Beamdog,Skybound Games,Unreleased,"Sep 27, 2019","Sep 24, 2019",
229,Banner of the Maid,Turn-based stategy,Azure Flame Studio,CE-Asia,Unreleased,"Aug 12, 2020","Aug 12, 2020",
230,The Banner Saga,Tactical role-playing,Stoic Studio,Versus Evil,"Sep 1, 2016","Jan 12, 2016","Jan 12, 2016",
231,The Banner Saga 2,Tactical role-playing,Stoic Studio,Versus Evil,"Nov 17, 2016","Jul 5, 2016","Jul 5, 2016",
232,The Banner Saga 3,Tactical role-playing,Stoic Studio,Versus Evil,Unreleased,"Jul 26, 2018","Jul 26, 2018",
233,"<span data-sort-value=""Bard's Tale !"">The Bard's Tale: Remastered and Resnarkled","Role-playing
dungeon crawler",InXile Entertainment,InXile Entertainment,Unreleased,"Aug 22, 2017","Aug 17, 2017",
234,The Bard's Tale IV: Director's Cut,Dungeon crawler,inXile Entertainment,Deep Silver,Unreleased,"Aug 27, 2019","Aug 27, 2019",
235,A Bastard's Tale,Action,No Pest Productions,No Pest Productions,Unreleased,"Oct 5, 2016","Oct 4, 2016",
236,Bastion,Role-playing,Supergiant Games,WB Games,Unreleased,"Apr 8, 2015","Apr 7, 2015",
237,Basement Crawl,"Action, strategy",Bloober Team,Bloober Team,Unreleased,"Feb 26, 2014","Feb 25, 2014",
238,Batman: Arkham Knight,Action-adventure,Rocksteady Studios,WB Games,"Jul 2, 2015","Jun 23, 2015","Jun 23, 2015",
239,Batman: Return to Arkham,Action-adventure,Rocksteady Studios,WB Games,"Feb 23, 2017","Oct 18, 2016","Oct 18, 2016",P
240,Batman: The Enemy Within,Graphic adventure,Telltale Games,Telltale Games,Unreleased,"Aug 8, 2017","Aug 8, 2017",
241,Batman: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games,Unreleased,"Aug 2, 2016","Aug 2, 2016",
242,Battalion 1944,First-person shooter,Bulkhead Interactive,Square Enix,Unreleased,TBA,TBA,
243,Battle Chasers: Nightwar,Role-playing,Airship Syndicate,Nordic Games,"Jun 6, 2018","Oct 3, 2017","Oct 3, 2017",
244,Battlefield 1,First-person shooter,EA DICE,Electronic Arts,"Oct 21, 2016","Oct 21, 2016","Oct 21, 2016",P
245,Battlefield 4,First-person shooter,EA DICE,Electronic Arts,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
246,Battlefield V,First-person shooter,EA DICE,Electronic Arts,"Oct 19, 2018","Oct 19, 2018","Oct 19, 2018",P
247,Battlefield Hardline,First-person shooter,Visceral Games,Electronic Arts,"Mar 19, 2015","Mar 19, 2015","Mar 17, 2015",
248,Battle Garegga Rev.2016,Shoot 'em up,M2,M2,"Dec 12, 2016","Jan 19, 2017","Oct 6, 2016",
249,Battle of the Bulge,Strategy,Slitherine Software,Slitherine Software,Unreleased,"Nov 22, 2017","Nov 22, 2017",
250,Battle Princess Madelyn,Platformer,Causal Bit Games,Causal Bit Games,Unreleased,"Oct 18, 2019","Dec 20, 2018",
251,Battleship,Strategy,Frima Studio,Ubisoft,Unreleased,"Aug 12, 2016","Aug 16, 2016",
252,Battlestar Galactica: Deadlock,Strategy,Black Lab Games,Slitherine Software,Unreleased,"Dec 8, 2017","Dec 8, 2017",
253,Battle Worlds: Kronos,Turn-based strategy,King Art Games,Nordic Games,Unreleased,"Apr 26, 2016","Apr 26, 2016",
254,Battlezone,Vehicular combat,Rebellion Developments,Rebellion Developments,"Oct 13, 2016","Oct 13, 2016","Oct 13, 2016",P VR
255,Bayonetta,"Action, hack and slash",PlatinumGames,Sega,"May 28, 2020","Feb 18, 2020","Feb 18, 2020",P
256,Bears Can't Drift!?,Racing,Strangely Named,Strangely Named,Unreleased,"Aug 9, 2016","Aug 30, 2016",
257,Bear With Me: The Lost Robots,Adventure,Exordium Games,Modus Games,"Jul 31, 2019","Jul 31, 2019","Jul 31, 2019",
258,Beast Quest,Role-playing,Torus Games,Maximum Games,Unreleased,"Mar 16, 2018","Mar 13, 2018",
259,Beautiful Desolation,Adventure,The Brotherhood,Untold Tales,Unreleased,TBA,TBA,
260,Bedlam,First-person shooter,RedBedlam,Standfast Interactive,Unreleased,"Oct 14, 2015","Oct 13, 2015",
261,Bee Simulator,Simulation,Varsav Game Studios,Bigben Interactive,"Apr 23, 2020","Nov 12, 2019","Nov 12, 2019",
262,Beholder: Complete Edition,"Strategy
management","Warm Lamp Games
Alawar",Curve Digital,Unreleased,"Jan 16, 2018","Jan 16, 2018",
263,Beholder 2,"Strategy
management","Warm Lamp Games
Alawar",Curve Digital,Unreleased,"Oct 22, 2019","Oct 22, 2019",
264,Below,Action-adventure,Capybara Games,Capybara Games,"Apr 7, 2020","Apr 7, 2020","Apr 7, 2020",
265,Ben 10,Action-adventure,Outright Games,Bandai Namco Entertainment,Unreleased,"Nov 10, 2017","Nov 14, 2017",
266,Bendy and the Ink Machine,Survival horror,Joey Drew Studios,Rooster Teeth Games,Unreleased,"Nov 20, 2018","Nov 20, 2018",
267,Berserk and the Band of the Hawk,"Action role-playing
hack and slash",Omega Force,Koei Tecmo,"Oct 27, 2016","Feb 24, 2017","Feb 21, 2017",P
268,Beyond a Steel Sky,Point-and-click adventure,Revolution Software,Revolution Software,TBA,TBA,TBA,
269,Beyond Blue,"Educational
adventure",E-Line Media,E-Line Media,"Jun 16, 2020","Jun 11, 2020","Jun 11, 2020",
270,Beyond Eyes,Adventure,Tiger and Squid,Team17,Unreleased,"Sep 8, 2015","Sep 8, 2015",
271,Beyond: Two Souls,Interactive drama,Quantic Dream,Sony Computer Entertainment,"Jun 1, 2016","Nov 26, 2015","Nov 24, 2015",
272,Big Bash Boom,Sports,Big Ant Studios,Big Ant Studios,Unreleased,"Nov 29, 2018","Nov 29, 2018",
273,Big Pharma,Management simulation,Twice Circled,Klabater,Unreleased,"Dec 5, 2019","Dec 5, 2019",
274,Binaries,"Platform, puzzle",Ant Workshop,Ground Shatter,Unreleased,"Aug 30, 2016","Aug 30, 2016",
275,The Binding of Isaac: Rebirth,"Action-adventure, roguelike",Nicalis,Nicalis,"Oct 28, 2015","Nov 5, 2014","Nov 4, 2014",
276,Biomutant,Action role-playing,Experiment 101,THQ Nordic,Unreleased,TBA,TBA,
277,BioShock: The Collection,First-person shooter,Blind Squirrel Games,2K Games,"Sep 15, 2016","Sep 16, 2016","Sep 13, 2016",P
278,Biped,Puzzle-platformer,Next Studios,Meta Publishing,"Apr 8, 2020","Apr 8, 2020","Apr 8, 2020",
279,Birthday of Midnight,Puzzle-platformer,Petite Games,Ratalaika Games,"Oct 1, 2020","Sep 30, 2020","Sep 29, 2020",
280,Birthdays the Beginning,Strategy,Toybox Games,NIS America,"Jan 19, 2017","May 12, 2017","May 9, 2017",P
281,Bit.Trip,Action,Choice Provisions,Choice Provisions,Unreleased,"Dec 5, 2015","Dec 5, 2015",
282,Black & White Bushido,"Brawler, stealth",Endemol,Endemol,Unreleased,"May 17, 2017","May 17, 2017",
283,Black Desert,MMORPG,Pearl Abyss,Pearl Abyss,"Aug 23, 2019","Aug 22, 2019","Aug 22, 2019",CP P
284,Blackguards 2,Turn-based tactics,Daedalic,Kalypso Media,"Nov 17, 2017","Sep 15, 2017","Sep 19, 2017",
285,Blackhole: Complete Edition,"Platform, puzzle",FiolaSoft Studio,FiolaSoft Studio,Unreleased,"Aug 8, 2017","Aug 8, 2017",
286,The Blackout Club,Horror,Question,Question,Unreleased,"Jul 30, 2019","Jul 30, 2019",
287,Black Legend,"Role-playing game
turn-based strategy",Warcave,Warcave,Unreleased,2021,2021,
288,Black Paradox,Shoot 'em up,Fantastico Studio,Digerati,Unreleased,"May 1, 2019","Apr 30, 2019",
289,Blacksad: Under the Skin,Adventure,"Pendulo Studios
Ys Interactive",Microïds,Unreleased,"Nov 14, 2019","Nov 14, 2019",
290,Blacksea Odyssey,Shoot 'em up,Spiral Summit Games,Digerati Distribution,Unreleased,"Jul 11, 2018","Jul 17, 2018",
291,Black the Fall,Puzzle-platform,Sand Sailor Studio,Square Enix,Unreleased,"Jul 11, 2017","Jul 11, 2017",
292,Blackwood Crossing,Adventure,PaperSeven,PaperSeven,Unreleased,"Apr 4, 2017","Apr 4, 2017",
293,Blade Arcus from Shining EX,Fighting,Sega,Sega,"Nov 26, 2015",Unreleased,Unreleased,
294,Blade Assault,"Action-platformer
roguelike",TeamSuneat,Neowiz,TBA,TBA,TBA,
295,Blade Ballet,"Action
battle",DreamSail Games,DreamSail Games,Unreleased,Unreleased,"Aug 9, 2016",
296,Bladed Fury,"Action
side-scrolling",NExT Studios,PM Studios,Unreleased,"Jan 22, 2021","Jan 22, 2021",
297,Blade Runner: Enhanced Edition,Point-and-click adventure,Alcon Entertainment,Nightdive Studios,TBA,TBA,TBA,
298,Blade Strangers,Fighting,Studio Saizensen,Nicalis,"Aug 30, 2018","Aug 28, 2018","Aug 28, 2018",
299,Bladestorm: Nightmare,Real-time tactics,Koei Tecmo,Koei Tecmo,"Jan 29, 2015","Mar 20, 2015","Mar 17, 2015",
300,Blair Witch,Survival horror,Bloober Team,Lionsgate Games,"Jul 9, 2020","Dec 3, 2019","Dec 3, 2019",P
301,Blasphemous,Platformer,The Game Kitchen,Team 17,"Dec 19, 2019","Sep 10, 2019","Sep 10, 2019",
302,Blast 'Em Bunnies,Shooter,Nnooo,Nnooo,"Nov 24, 2017","Mar 9, 2016","Mar 8, 2016",
303,Blaster Master Zero,"Action
metroidvania",Inti Creates,Inti Creates,"Jun 29, 2020","Jun 29, 2020","Jun 29, 2020",
304,Blaster Master Zero 2,"Action
metroidvania",Inti Creates,Inti Creates,"Jun 29, 2020","Jun 29, 2020","Jun 29, 2020",
305,Blast Zone! Tournament,"Action
maze",Victory Lap Games,Victory Lap Games,Unreleased,"Feb 28, 2019","Feb 28, 2019",P
306,BlazBlue: Central Fiction,Fighting,Arc System Works,Aksys Games,"Oct 6, 2016","Nov 4, 2016","Nov 1, 2016",P
307,BlazBlue: Chrono Phantasma Extend,Fighting,Arc System Works,Aksys Games,"Apr 23, 2015","Oct 23, 2015","Jun 30, 2015",CP
308,BlazBlue: Cross Tag Battle,Fighting,Arc System Works,Arc System Works,"May 31, 2018","Jun 5, 2018","Jun 5, 2018",
309,Blazerush,Vehicular combat,Targem Games,Targem Games,Unreleased,"Dec 15, 2015","Dec 16, 2015",
310,Blazing Beaks,Twin-stick shooter,Applava,QubicGames,Unreleased,TBA,TBA,
311,Blazing Chrome,"Run and gun
shooter",JoyMasher,The Arcade Crew,"Jul 12, 2019","Jul 11, 2019","Jul 12, 2019",
312,Bleed,Platform,Bootdisk Revolution,Digerati,Unreleased,"Aug 23, 2017","Aug 22, 2017",
313,Bleed 2,Platform,Bootdisk Revolution,Digerati,Unreleased,"Feb 6, 2018","Feb 6, 2018",
314,Blind Fate: Edo no Yami,"Action
platform",Troglobytes Games,101XP,Unreleased,TBA,TBA,
315,Block-a-Pix Deluxe,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Mar 26, 2019","Mar 26, 2019",
316,Bloodborne,Action role-playing,FromSoftware,Sony Computer Entertainment,"Mar 26, 2015","Mar 25, 2015","Mar 24, 2015",
317,Blood Bowl 2,"Sports
turn-based strategy",Cyanide,Focus Home Interactive,Unreleased,"Sep 22, 2015","Sep 22, 2015",
318,Blood Bowl 3,"Sports
turn-based strategy",Cyanide,Nacon,TBA,TBA,TBA,
319,Bloodroots,Action,Paper Cult,Paper Cult,Unreleased,"Feb 28, 2020","Feb 28, 2020",
320,Bloodstained: Curse of the Moon,"Action
platform",Inti Creates,Inti Creates,"May 24, 2018","May 24, 2018","May 24, 2018",
321,Bloodstained: Curse of the Moon 2,"Action
platform","ArtPlay
Inti Creates",505 Games,"Jul 10, 2020","Jul 10, 2020","Jul 10, 2020",
322,Bloodstained: Ritual of the Night,Metroidvania,Inti Creates,505 Games,"Oct 24, 2019","Jun 18, 2019","Jun 18, 2019",
323,Bloody Zombies,Brawler,Paw Print Games,nDreams,Unreleased,"Sep 12, 2017","Sep 12, 2017",CP VR
324,Bloons TD 5,"Strategy, puzzle",Ninja Kiwi,Ninja Kiwi,Unreleased,"May 9, 2017","May 9, 2017",
325,Blue Estate,First-person shooter,Hesaw,Focus Home Interactive,Unreleased,"Jun 24, 2014","Jun 24, 2014",
326,Blue Fire,"Action
platform",Robi Studios,Graffiti Games,Unreleased,2021,2021,
327,Blue Reflection,Role-playing,Gust Co. Ltd.,Koei Tecmo,"Mar 30, 2017","Sep 29, 2017","Sep 26, 2017",
328,Blue Rider,Shooter,Ravegan,Ravegan,"Mar 10, 2017","Sep 9, 2016","Jul 26, 2016",
329,Blues and Bullets,Action-adventure,A Crowd of Monsters,A Crowd of Monsters,Unreleased,"Apr 20, 2016","Apr 20, 2016",
330,Boiling Bolt,Shoot 'em up,Persistant Studios,Playdius Entertainment,Unreleased,"Dec 5, 2017","Dec 5, 2017",
331,Bokosuka Wars II,Strategy,Pygmy Studio,Pygmy Studio,"Nov 10, 2016","Oct 20, 2017","Oct 17, 2017",
332,Bokuhime Project,Adventure,Wizard Soft,Nippon Ichi Software,"Apr 23, 2020",Unreleased,Unreleased,
333,Bomber Crew,Real-time strategy,Runner Duck,Curve Digital,Unreleased,"Jul 10, 2018","Jul 10, 2018",
334,Book of Demons,Hack and slash,Thing Trunk,505 Games,"May 21, 2020","Apr 30, 2020","Apr 30, 2020",
335,The Book of Unwritten Tales 2,Adventure,King Art Games,505 Games,Unreleased,"Sep 18, 2015","Sep 18, 2015",
336,Borderlands 3,"Action role-playing, first-person shooter",Gearbox Software,2K Games,"Sep 13, 2019","Sep 13, 2019","Sep 13, 2019",P
337,Borderlands: Game of the Year Edition,"Action role-playing, first-person shooter",Gearbox Software,2K Games,"Apr 3, 2019","Apr 3, 2019","Apr 3, 2019",P
338,Borderlands: The Handsome Collection,"Action role-playing, first-person shooter",Gearbox Software,2K Games,"May 14, 2015","Mar 27, 2015","Mar 24, 2015",P
339,Bound,"3D platform, art",Plastic,Sony Interactive Entertainment,"Aug 16, 2016","Aug 16, 2016","Aug 16, 2016",3D P VR
340,Boundary,Tactical shooter,Surgical Scalpels,Surgical Scalpels,Unreleased,2020,2020,VR
341,Bound by Flame,Action role-playing,Spiders,Focus Home Interactive,Unreleased,"May 7, 2014","May 6, 2014",
342,Boundless,Sandbox,Wonderstruck Games,Wonderstruck Games,Unreleased,"Sep 11, 2018","Sep 11, 2018",CP
343,Bounty Battle,Fighting,Dark Screen Games,Merge Games,Unreleased,"Sep 10, 2020","Sep 10, 2020",
344,Bow to Blood: Last Captain Standing,Action-adventure,Tribetoy,Tribetoy,Unreleased,"Aug 28, 2018","Aug 28, 2018",P VR
345,BPM: Bullets Per Minute,"First-person shooter
roguelike",Awe Interactive,Awe Interactive,Unreleased,2021,2021,
346,BQM: BlockQuest Maker,Role-playing,Wonderland Kazakiri,Wonderland Kazakiri,"Jul 4, 2019",Unreleased,Unreleased,
347,Braid Anniversary Edition,"Puzzle
platform",Thekla,Thekla,2021,2021,2021,
348,Braveland Trilogy,Role-playing,Ellada Games,Ellada Games,Unreleased,"Apr 9, 2020","Apr 9, 2020",
349,Brawl,"Action
party",Bloober Team,Bloober Team,Unreleased,"Apr 28, 2015","Apr 24, 2015",
350,Brawlout,Fighting,Angry Mob Games,Angry Mob Games,"Aug 23, 2018","Aug 21, 2018","Aug 21, 2018",
351,Breakers Collection,Fighting,Visco Corporation,QuByte Interactive,Unreleased,2020,2020,
352,The Bridge,Puzzle,TQAG,TQAG,Unreleased,"Aug 18, 2015","Aug 18, 2015",
353,Bridge Constructor,Simulation,ClockStone,Headup Games,"Jun 16, 2017","Dec 14, 2016","Dec 13, 2016",
354,Bridge Constructor Portal,Simulation,ClockStone,Headup Games,"Feb 28, 2018","Feb 28, 2018","Feb 28, 2018",
355,Bridge Constructor Stunts,Simulation,ClockStone,Headup Games,Unreleased,"Mar 27, 2018","Mar 27, 2018",
356,Bridge Constructor: The Walking Dead,Puzzle,Headup Games,Headup Games,Unreleased,2020,2020,
357,Brief Battles,Party brawler,Juicy Cupcake,Juicy Cupcake,Unreleased,"May 7, 2019","May 7, 2019",P
358,Brigandine: The Legend of Runersia,Tactical role-playing,Matrix Software,Happinet,"Dec 10, 2020","Dec 10, 2020","Dec 10, 2020",
359,Bright Memory: Infinite,First-person shooter,FYQD Studio,Playism,TBA,TBA,TBA,
360,Broforce,"Platform, run and gun",Free Lives,Devolver Digital,"Mar 2, 2016","Mar 1, 2016","Mar 1, 2016",
361,Broken Age: The Complete Adventure,Point-and-click adventure,Double Fine Productions,Double Fine Productions,Unreleased,"Apr 29, 2015","Apr 28, 2015",
362,Broken Delusion,Action role-playing,Bilibili,Zhaijidian,TBA,TBA,TBA,
363,Broken Sword 5: The Serpent's Curse,Point-and-click adventure,Revolution Software,Revolution Software,"Apr 26, 2019","Sep 4, 2015","Sep 4, 2015",
364,Brothers: A Tale of Two Sons,"Puzzle, adventure",Starbreeze Studios,505 Games,Unreleased,"Aug 12, 2015","Aug 12, 2015",
365,Brutal,Action role-playing,Stormcloud Games,Stormcloud Games,"Oct 20, 2016","Aug 9, 2016","Aug 9, 2016",
366,Bubble Bobble 4 Friends: The Baron is Back,Platform,Taito,Inin Games,"Nov 19, 2020","Nov 17, 2020","Nov 17, 2020",
367,Bubsy: Paws on Fire!,Platform,Choice Provisions,UFO Interactive Games,Unreleased,"May 16, 2019","May 16, 2019",
368,Bubsy: The Woolies Strike Back,Platform,Black Forest Games,UFO Interactive Games,Unreleased,"Oct 31, 2017","Oct 31, 2017",
369,Bucket Knight,Platform,Sometimes You,Sometimes You,"Feb 20, 2020","Feb 20, 2020","Feb 20, 2020",
370,Bud Spencer & Terence Hill: Slaps and Beans,Beat 'em up,Trinity Team,Buddy Productions,Unreleased,"Jul 24, 2018","Jul 24, 2018",
371,The Bug Butcher,Action,Awfully Nice Studios,Triangle Studios,Unreleased,"Oct 18, 2016","Oct 18, 2016",
372,Bug Fables: The Everlasting Sapling,Role-playing,Moonsprout Games,Dangen Entertainment,"May 28, 2020","May 28, 2020","May 28, 2020",
373,BugsBox,"Action
puzzle",Park ESM,Park ESM,"May 16, 2017","Jun 5, 2017","May 25, 2017",
374,Bugsnax,"Adventure
platform",Young Horses,Young Horses,TBA,"Nov 12, 2020","Nov 12, 2020",
375,Buildings Have Feelings Too!,"Simulation, strategy",Blackstaff Games,Merge Games,Unreleased,TBA,TBA,
376,Bulb Boy,Adventure,Bulbware,Bulbware,Unreleased,"Mar 1, 2018","Mar 1, 2018",
377,Bulletstorm: Full Clip Edition,First-person shooter,People Can Fly,Gearbox Software,"Apr 7, 2017","Apr 7, 2017","Apr 7, 2017",P
378,Buried Stars,Visual novel,Studio Largo,Line Games,"Jul 30, 2020","Jul 30, 2020","Jul 30, 2020",
379,Burnout Paradise Remastered,Racing,Stellar Entertainment,Electronic Arts,"Mar 15, 2018","Mar 16, 2018","Mar 16, 2018",P
380,Bush Hockey League,Sports,V7 Entertainment,V7 Entertainment,Unreleased,"Mar 28, 2017","Mar 28, 2017",
381,Bus Simulator 18,Vehicle simulation,Stillalive Studios,Astragon,"Sep 18, 2019","Sep 17, 2019","Sep 17, 2019",
382,Bus Simulator 21,Vehicle simulation,Stillalive Studios,Astragon,2021,2021,2021,
383,Butcher,Shooter,Transhuman Design,Crunching Koalas,Unreleased,"May 9, 2017","May 9, 2017",
384,Cafeteria Nipponica,Simulation,Kairosoft,Kairosoft,"Oct 1, 2020","Oct 1, 2020","Oct 1, 2020",
385,Cake Bash,"Party
beat 'em up",High Tea Frog,Coatsink,Unreleased,"Oct 15, 2020","Oct 15, 2020",
386,Caladrius Blaze,Shoot 'em up,Moss,H2 Interactive,"Aug 9, 2016","Aug 9, 2016","Aug 9, 2016",
387,The Caligula Effect: Overdose,Role-playing,FuRyu,FuRyu,"May 17, 2018","Mar 15, 2019","Mar 12, 2019",
388,Call of Cthulhu: The Official Video Game,"Adventure, horror",Frogwares,Focus Home Interactive,"Mar 28, 2019","Oct 30, 2018","Oct 30, 2018",
389,Call of Duty: Advanced Warfare,First-person shooter,Sledgehammer Games,Activision,"Nov 13, 2014","Nov 4, 2014","Nov 4, 2014",
390,Call of Duty: Black Ops III,First-person shooter,Treyarch,Activision,"Nov 6, 2015","Nov 6, 2015","Nov 6, 2015",P
391,Call of Duty: Black Ops IIII,First-person shooter,Treyarch,Activision,"Oct 12, 2018","Oct 12, 2018","Oct 12, 2018",P
392,Call of Duty: Black Ops Cold War,First-person shooter,"Raven Software
Treyarch",Activision,"Nov 13, 2020","Nov 13, 2020","Nov 13, 2020",CP
393,Call of Duty: Ghosts,First-person shooter,Infinity Ward,Activision,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
394,Call of Duty: Infinite Warfare,First-person shooter,Infinity Ward,Activision,"Nov 4, 2016","Nov 4, 2016","Nov 4, 2016",P
395,Call of Duty: Modern Warfare,First-person shooter,Infinity Ward,Activision,"Oct 25, 2019","Oct 25, 2019","Oct 25, 2019",CP P
396,Call of Duty: Modern Warfare Remastered,First-person shooter,Raven Software,Activision,"Nov 4, 2016","Nov 4, 2016","Nov 4, 2016",P
397,Call of Duty: Modern Warfare 2 Campaign Remastered,First-person shooter,Beenox,Activision,"Mar 31, 2020","Mar 31, 2020","Mar 31, 2020",
398,Call of Duty: Warzone,First-person shooter,"Infinity Ward
Raven Software",Activision,"Mar 10, 2020","Mar 10, 2020","Mar 10, 2020",CP P
399,Call of Duty: WWII,First-person shooter,Sledgehammer Games,Activision,"Nov 3, 2017","Nov 3, 2017","Nov 3, 2017",P
400,Calvino Noir,Adventure,Calvino Noir,Calvino Noir,Unreleased,"Aug 25, 2015","Aug 25, 2015",
401,Candlelight,Platform,Pixel Maverick,Pixel Maverick,Unreleased,Unreleased,"Mar 15, 2016",
402,Candleman: The Complete Journey,Puzzle,Spotlightor Interactive,Zodiac Interactive,Unreleased,"Aug 21, 2018","Aug 21, 2018",
403,Candle: The Power of the Flame,"Adventure
platformer",Teku Studios,Merge Games,"Oct 10, 2019","Jul 25, 2018","Jul 24, 2018",
404,Cannon Brawl,"2D, action, strategy",Turtle Sandbox / BlitWorks,Turtle Sandbox,Unreleased,"Aug 2, 2016","Aug 2, 2016",
405,Capcom Beat 'Em Up Bundle,Beat 'em up,Capcom,Capcom,"Sep 20, 2018","Sep 18, 2018","Sep 18, 2018",
406,Capsule Force,Action,Klobit,Iron Galaxy Studios,Unreleased,"Jul 23, 2015","Jul 23, 2015",
407,Captain Tsubasa: Rise of New Champions,Sports,Tamsoft,Bandai Namco Entertainment,"Aug 27, 2020","Aug 28, 2020","Aug 28, 2020",
